Cumulative_Return
-96.0
-245.75
-413.849609375
-269.05078125
-378.451171875
-523.099609375
-523.099609375
-825.099609375
-825.099609375
-647.19921875
-391.150390625
-611.80078125
-611.80078125
-611.80078125
-774.201171875
-774.201171875
-916.701171875
-950.15234375
-950.15234375
-945.1015625
-1216.501953125
-1216.501953125
-1216.501953125
-1289.4521484375
-1289.4521484375
-1289.4521484375
-1229.302734375
-812.302734375
-831.302734375
-1262.2021484375
-1262.2021484375
-1313.65234375
-1403.2021484375
-1502.552734375
-1358.2021484375
-1358.2021484375
-1049.251953125
-1126.1015625
-1187.90234375
-1082.65234375
-1126.3515625
-1141.1015625
-1294.302734375
-1354.40234375
-1232.552734375
-1508.8525390625
-1508.8525390625
-1508.8525390625
-1548.8017578125
-1880.3525390625
-1947.4521484375
-1890.8017578125
-1890.8017578125
-2116.3017578125
-2116.3017578125
-1973.7021484375
-1840.90234375
-1822.751953125
-1873.8525390625
-1892.7021484375
-1920.90234375
-1920.90234375
-1945.40234375
-1766.4521484375
-1623.3515625
-1535.65234375
-1540.251953125
-1697.9521484375
-1789.6015625
-1817.6015625
-1707.0517578125
-1477.751953125
-1415.7021484375
-1415.7021484375
-1331.3017578125
-1217.1025390625
-1305.5517578125
-1452.7021484375
-1294.7509765625
-1006.9521484375
-778.3017578125
-596.5009765625
-596.5009765625
-596.5009765625
-596.5009765625
-581.0009765625
-453.4013671875
-443.7509765625
-443.7509765625
-404.6005859375
-277.5009765625
-158.5009765625
-146.2509765625
-146.2509765625
-414.0009765625
-327.2001953125
-299.7509765625
-382.2509765625
-345.7998046875
-591.7998046875
-591.7998046875
-808.2998046875
-811.6513671875
-685.2998046875
-695.5009765625
-726.7001953125
-726.7001953125
-692.1005859375
-589.1005859375
-455.3994140625
-521.7001953125
-648.0498046875
-994.6005859375
-903.2001953125
-709.2001953125
-807.1005859375
-807.1005859375
-807.1005859375
-1118.1494140625
-1127.0498046875
-1275.8505859375
-1316.3505859375
-1040.1005859375
-1247.1005859375
-1247.1005859375
-1189.6005859375
